sensor_id,tipo,localizacao_latitude,localizacao_longitude,localizacao_endereco,instalado_em,ativo
SEN044,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN045,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN046,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN047,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN048,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN049,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN050,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN051,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN052,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN053,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN054,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN055,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN056,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN057,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN058,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN059,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN060,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN061,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN062,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
SEN063,Pluviometro,-23.55052,-46.63331,Avenida Paulista 1000 - São Paulo,2025-01-01 12:30:00,0
