id,data_hora,pulsos,chuva_intervalo_mm,chuva_acumulada_mm,status_sync,tentativas_envio,criado_em,enviado_em,ultimo_erro
11,2026-04-22 17:56:30,0,0.0,8.25,PENDENTE,0,2026-04-22 17:56:45.130866,,
12,2026-04-22 17:56:45,0,0.0,8.25,PENDENTE,0,2026-04-22 17:57:00.142236,,
1,2026-04-22 17:54:00,0,0.0,0.0,PENDENTE,7,2026-04-22 17:54:15.057047,,Falha no envio do lote: Object of type datetime is not JSON serializable
2,2026-04-22 17:54:15,1,0.25,0.25,PENDENTE,7,2026-04-22 17:54:30.059116,,Falha no envio do lote: Object of type datetime is not JSON serializable
3,2026-04-22 17:54:30,2,0.5,0.75,PENDENTE,7,2026-04-22 17:54:45.070697,,Falha no envio do lote: Object of type datetime is not JSON serializable
4,2026-04-22 17:54:45,4,1.0,1.75,PENDENTE,7,2026-04-22 17:55:00.082346,,Falha no envio do lote: Object of type datetime is not JSON serializable
5,2026-04-22 17:55:00,6,1.5,3.25,PENDENTE,7,2026-04-22 17:55:15.084176,,Falha no envio do lote: Object of type datetime is not JSON serializable
6,2026-04-22 17:55:15,8,2.0,5.25,PENDENTE,7,2026-04-22 17:55:30.085954,,Falha no envio do lote: Object of type datetime is not JSON serializable
7,2026-04-22 17:55:30,5,1.25,6.5,PENDENTE,7,2026-04-22 17:55:45.102637,,Falha no envio do lote: Object of type datetime is not JSON serializable
8,2026-04-22 17:55:45,4,1.0,7.5,PENDENTE,7,2026-04-22 17:56:00.108978,,Falha no envio do lote: Object of type datetime is not JSON serializable
13,2026-04-23 12:35:20,0,0.0,0.0,PENDENTE,0,2026-04-23 12:35:35.832658,,
14,2026-04-23 12:35:35,1,0.25,0.25,PENDENTE,0,2026-04-23 12:35:50.848662,,
15,2026-04-23 12:35:50,2,0.5,0.75,PENDENTE,0,2026-04-23 12:36:05.856230,,
16,2026-04-23 12:36:05,4,1.0,1.75,PENDENTE,0,2026-04-23 12:36:20.862648,,
17,2026-04-23 12:36:20,6,1.5,3.25,PENDENTE,0,2026-04-23 12:36:35.870268,,
18,2026-04-23 12:36:35,8,2.0,5.25,PENDENTE,0,2026-04-23 12:36:50.886022,,
19,2026-04-23 12:36:50,5,1.25,6.5,PENDENTE,0,2026-04-23 12:37:05.897929,,
20,2026-04-23 12:37:05,4,1.0,7.5,PENDENTE,0,2026-04-23 12:37:20.903050,,
21,2026-04-23 12:37:20,3,0.75,8.25,PENDENTE,0,2026-04-23 12:37:35.915788,,
22,2026-04-23 12:37:35,0,0.0,8.25,PENDENTE,0,2026-04-23 12:37:50.926723,,
23,2026-04-23 12:37:50,0,0.0,8.25,PENDENTE,0,2026-04-23 12:38:05.929471,,
9,2026-04-22 17:56:00,3,0.75,8.25,PENDENTE,7,2026-04-22 17:56:15.116956,,Falha no envio do lote: Object of type datetime is not JSON serializable
10,2026-04-22 17:56:15,0,0.0,8.25,PENDENTE,7,2026-04-22 17:56:30.117668,,Falha no envio do lote: Object of type datetime is not JSON serializable
